,control_RunId0091_LaneId1,D0-C-1_RunId0091_LaneId1,D0-C-2_RunId0091_LaneId1,D0-C-3_RunId0091_LaneId1,D0-C-4_RunId0091_LaneId1,D0-I-1_RunId0091_LaneId1,D0-I-2_RunId0091_LaneId1,D0-I-3_RunId0091_LaneId1,D0-I-4_RunId0091_LaneId1,D0-I-6_RunId0091_LaneId1,D11-C-1_RunId0091_LaneId1,D11-C-2_RunId0091_LaneId1,D11-C-3_RunId0091_LaneId1,D11-C-4_RunId0091_LaneId1,D11-I-1_RunId0091_LaneId1,D11-I-2_RunId0091_LaneId1,D11-I-3_RunId0091_LaneId1,D11-I-4_RunId0091_LaneId1,D11-I-5_RunId0091_LaneId1,D11-I-6_RunId0091_LaneId1,D2-C-4_RunId0091_LaneId1,D2-I-1_RunId0091_LaneId1,D2-I-2_RunId0091_LaneId1,D2-I-3_RunId0091_LaneId1,D2-I-4_RunId0091_LaneId1,D2-I-5_RunId0091_LaneId1,D2-I-6_RunId0091_LaneId1,D5-C-1_RunId0091_LaneId1,D5-C-3_RunId0091_LaneId1,D5-C-4_RunId0091_LaneId1,D5-I-1_RunId0091_LaneId1,D5-I-2_RunId0091_LaneId1,D5-I-3_RunId0091_LaneId1,D5-I-4_RunId0091_LaneId1,D-5-I-5_RunId0091_LaneId1,D5-I-6_RunId0091_LaneId1
Odontotremataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phakopsoraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9838069243830945e-12,0.0,0.0,0.0,5.407652416521961e-12,1.827093027026141e-11,4.634640340994961e-12,0.0,1.8539666097647236e-11,0.0,7.255706440792656e-12,0.0,2.9269775304130533e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0398072451129965e-12,0.0,1.227670590199567e-11,0.0,0.0,0.0
Coniophoraceae,0.0,1.967995829281543e-06,0.0,0.0,1.4512945517238638e-06,5.508022218354762e-07,0.0,1.952093833121437e-06,0.0,1.0038358178425475e-06,0.0,0.0,4.557059066764439e-06,0.0,3.9511094782621444e-05,1.7799577390719773e-05,2.4187907338355305e-05,1.559261581032575e-05,7.740591591323677e-06,6.575152731344797e-06,0.0,5.6969785405810285e-06,1.8330862223120485e-06,1.866046278868143e-06,0.0,3.4966814427443795e-06,1.3408859020803413e-06,0.0,0.0,2.5788010303379546e-06,1.0520979552151827e-06,3.544410119968743e-06,5.1257107853846965e-06,1.0142625461297054e-06,0.0,4.055282837908618e-06
Valsariaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omphalotaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1097966164191736e-06,1.167458276548398e-06,8.884193324944877e-07,1.4317879112350837e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lyophyllaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thermoascaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gnomoniaceae,0.0,0.0,0.0,0.0,0.0,0.0,1.1217465005747651e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9539042513471636e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suillaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.705406277040677e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rutstroemiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporidiobolaceae,0.000445150862829617,6.884611872969931e-06,0.0,1.3812309753193956e-05,3.0462258771012716e-06,6.936708937522486e-06,1.360344805903874e-06,4.097389287323508e-06,7.554915311709313e-06,2.107022754988549e-06,1.7456093935981505e-06,4.639317504073134e-06,2.3912842565569842e-06,4.057973639989936e-06,0.00015638730397701478,0.00012542556081000732,0.00013809365942554885,6.54569118538939e-05,3.520244218747206e-05,2.0701587116472478e-05,0.0,3.758164298230835e-05,6.412659510012452e-06,3.9167779247876884e-06,0.0,1.4678869264982153e-05,1.4072406350267198e-06,1.957290397013757e-06,4.54514292428069e-06,0.0,8.833294420116096e-06,0.0,2.1517441534427832e-05,1.2773448961928437e-05,0.0,8.511923031150718e-06
Malasseziaceae,0.0,3.38078330089424e-06,0.0,1.3565449155881767e-05,0.0,0.0,6.6801601718675714e-06,1.006039667554311e-05,9.274862547363459e-06,5.17341244220099e-06,0.0,0.0,0.0,0.0,0.00020944400570937883,0.00011138968925420966,0.00017451820902504507,0.000168753461006438,5.318967124141332e-05,4.51813285866055e-05,7.80614059155593e-06,3.7748827656645874e-05,3.149024605277908e-06,0.0,0.0,6.006883782112824e-06,0.0,4.8057717786567145e-06,0.0,0.0,5.422138317023249e-06,4.566656989366743e-06,0.0,1.5681444263713953e-05,0.0,0.0
Morchellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.755080416867713e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botryosphaeriaceae,0.0,3.2158386538581673e-06,2.7924800406046722e-06,4.3012020065382796e-06,5.928784309557192e-06,8.100433671297558e-06,4.2361617378184394e-06,5.3164228561075795e-06,1.4703920578180577e-06,1.6403358061606776e-06,1.0871778522980537e-05,9.029374030325202e-06,5.584907679974327e-06,3.1591682844297743e-06,0.00039845093248121275,8.725714985328001e-05,0.0002355670987991858,0.00021912276879206496,0.000120162190433025,9.848891697015979e-05,7.4252876974211385e-06,3.0587533422397904e-05,4.992312010910095e-06,9.147738522895842e-06,5.699380942980012e-06,9.523024368663636e-06,6.573295507284154e-06,3.047535688615345e-06,2.3589559138722523e-06,2.10696788849334e-06,1.3753595293995293e-05,8.68770977508833e-06,3.3503036189168017e-05,1.4916364085871741e-05,0.0,1.6566517962636015e-05
Plectosphaerellaceae,0.0,6.284788464547304e-12,1.2279169924347502e-11,1.576113632244965e-11,1.0428085275208502e-11,1.319238866718933e-11,1.241824448741709e-11,6.2340054900392755e-12,8.62086445063093e-12,0.0,7.967613848766189e-12,1.0587789722557454e-11,5.457357650787843e-12,9.261054360296097e-12,1.7304487732870275e-10,1.6443837243235267e-10,1.7611633295780852e-10,1.419156626139761e-10,8.651844178902042e-11,4.199545895753087e-11,0.0,4.2884167011156475e-11,2.048884271289137e-11,4.916350640295451e-11,1.1138433068626616e-11,5.583320571258338e-12,3.2115861696510118e-12,8.933805082910737e-12,6.915243818945889e-12,6.176544708588428e-12,4.031845796090397e-11,1.2733945337782352e-11,2.455341180399134e-11,9.717132712012094e-12,0.0,9.712899700149188e-12
Erysiphaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3293985420441966e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7137332217175753e-07,0.0,0.0,0.0,0.0
Coccotremataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myeloconidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceratobasidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35853304384158e-06,0.0,8.020751231163455e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kirschsteiniotheliaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clavariaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sympoventuriaceae,0.0,0.0,0.0,8.540518391623235e-07,0.0,7.14858597353093e-07,8.411373652465781e-07,8.445082488330013e-07,1.1678512558677795e-06,0.0,0.0,1.4343066864307028e-06,0.0,1.2545765018425759e-06,1.318614932849911e-05,1.1550589687715946e-05,1.3812599956987712e-05,1.2142124732275944e-05,5.02306293284127e-06,1.4222601969082935e-06,0.0,1.056260416228958e-06,1.5860471554169882e-06,1.2109239692810198e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.461860818476032e-06,0.0,0.0,3.949081570465944e-06,0.0,0.0
Ascosphaeraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sordariaceae,0.0,3.674157138533236e-06,1.914277097780991e-06,6.634177448799852e-06,2.438549788669805e-06,1.8509800647433574e-06,4.355906190530568e-06,2.9155750780907817e-06,4.0318824845468604e-06,2.2489380197851434e-06,5.5895466581873316e-06,4.95179157228489e-06,1.276172757971444e-06,1.0828230474317866e-06,6.069837432814769e-05,3.4180444040111377e-05,6.827844789595605e-05,5.414588735100245e-05,1.5896458910853672e-05,2.2095910557160675e-05,8.483533141941682e-07,1.276319434920019e-05,6.1601168621807e-06,2.0902932275541703e-06,2.6046606724808474e-06,1.3056284868983841e-06,3.7550578886787804e-06,2.0891206699988957e-06,0.0,1.4443506546350873e-06,7.071185496569191e-06,2.9777623497388535e-06,0.0,9.0891899312282e-06,1.9530044320258046e-06,6.813922849522223e-06
Astraeaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407652416521961e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ophiocordycipitaceae,0.0,2.3761463595140826e-06,1.0316657638494783e-06,3.178108913240695e-06,1.752284336354627e-06,1.3300705974610063e-06,8.607641359361469e-06,2.356946384736373e-06,4.345823421272793e-06,1.21202534508785e-06,1.1045419917372833e-05,1.3343402166714856e-05,1.3755414455751204e-06,4.66854654485488e-06,8.859585212865372e-05,3.070157567594933e-05,4.789510814112728e-05,5.647929239748427e-05,2.336485964114535e-05,1.4554466607356816e-05,9.144100098328556e-07,1.2774352903616076e-05,4.426514618592792e-06,3.379579625813583e-06,1.403735773341567e-06,4.221872199592386e-06,0.0,4.5035784511793315e-06,2.614508271556299e-06,1.5568144477180386e-06,1.2702967602575768e-06,6.419249277268468e-06,9.283128684571656e-06,7.347687085670552e-06,4.210148701048366e-06,7.344486260126602e-06
Pucciniaceae,0.0,1.6648095788194515e-07,2.1684611794888705e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1105817531626213e-07,0.0,0.0,0.0,2.864921100443238e-06,1.9359518557838656e-06,2.9464642805770803e-06,3.5614195207552086e-06,1.6370221464937605e-06,1.9467683723033926e-06,0.0,2.0654191081617044e-07,3.1013678548507505e-07,0.0,5.901032364189401e-07,5.915976724489554e-07,3.4029335743596583e-07,2.366521062918068e-07,1.8318141039425385e-07,0.0,5.340080688091796e-07,2.2487730275612786e-07,0.0,2.5740207023471903e-07,0.0,0.0
Phaeosphaeriaceae,0.0,1.4881934185556244e-06,1.938413676113694e-06,3.7321255084942755e-06,2.469296773033068e-06,1.249545699129788e-06,1.4702761931001566e-06,0.0,0.0,1.138647121500045e-06,9.433372784314214e-07,0.0,0.0,2.192952113762394e-06,3.713432053656848e-05,1.7305707794287913e-05,3.950820087310045e-05,2.6529966544591328e-05,1.170683117366192e-05,1.491634109462155e-05,0.0,7.385212488998114e-06,6.93087559206284e-07,3.17497371520223e-06,2.6375021019814775e-06,0.0,2.2814426107226996e-06,0.0,0.0,1.4625620633992112e-06,1.193390678982281e-06,2.0102054084859635e-06,0.0,5.75237059720577e-06,1.977629312359143e-06,2.2999458916385497e-06
Trichocomaceae,0.0,9.421172658521515e-06,4.090447226954083e-06,4.200290199484981e-06,5.7896872996057425e-06,2.636795645295506e-06,1.0341939650674778e-06,4.15335411540902e-06,7.179473715098083e-06,3.2037027789011715e-06,2.654178106005683e-06,8.817533142923225e-06,3.635918976070037e-06,3.085050077500021e-06,0.00014591353278680245,6.289308294908599e-05,0.00011733603658992781,8.708564189428037e-05,6.381813845710672e-05,4.0219990673273866e-05,3.6255403834119887e-06,9.090842176276348e-06,6.825260206902655e-06,7.444267208477109e-06,7.4208880468112666e-06,7.439681440555664e-06,3.209538712154716e-06,1.488018263965932e-06,4.607223464972397e-06,6.172607024186773e-06,8.394323760142527e-06,5.655923184387895e-06,2.0448132048965632e-05,1.6184896373566066e-06,2.7821334652366874e-06,3.2355691703052632e-06
Camptobasidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,1.3900673004234318e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.496895297421877e-06,0.0,0.0,0.0
Thelephoraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.988647001536282e-06,0.0,5.127717965792884e-06,2.754631860246677e-06,0.0,3.871944989874869e-06,0.0,0.0,0.0,3.2966056465400435e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xylonomycetaceae,0.0,6.284788464547304e-06,8.186113282898333e-06,6.304454528979859e-06,3.4760284250695007e-06,7.9154332003136e-06,6.209122243708545e-06,6.234005490039275e-06,4.310432225315465e-06,0.0,7.967613848766189e-06,5.2938948612787265e-06,5.457357650787843e-06,0.0,0.0002108984442443565,1.827093027026141e-05,0.0001622124119348236,8.216169940809143e-05,6.797877569137319e-05,7.874148554537037e-05,0.0,7.797121274755722e-06,2.9269775304130528e-06,4.4694096729958645e-06,1.1138433068626615e-05,5.583320571258338e-06,3.2115861696510117e-06,8.933805082910735e-06,0.0,0.0,5.039807245112996e-06,4.2446484459274505e-06,2.4553411803991342e-05,4.858566356006047e-06,0.0,0.0
Kondoaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227670590199567e-11,0.0,0.0,0.0
Dipodascaceae,0.0,0.0,0.0,0.0,0.0,9.219358168381311e-07,0.0,1.0891418318213559e-06,0.0,0.0,0.0,1.8497905899811612e-06,0.0,0.0,2.267447650417826e-05,2.128073675416606e-06,1.61943414355017e-05,5.219801382003043e-06,4.318748393193043e-06,1.8342545242487257e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9182562858847164e-06,0.0
Elsinoaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5165006267901715e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clavicipitaceae,0.0,7.798161911012629e-07,1.015732465174236e-06,3.129025420978464e-06,3.450443255983375e-06,5.2381146458668336e-06,6.163420246182869e-06,3.0940601701839183e-06,1.069676365054163e-06,0.0,1.6806558155285047e-05,1.4451055735958852e-05,4.062891740005051e-06,8.04377764549571e-06,0.00013956408975103552,3.9295636930528036e-05,7.705883152032282e-05,5.004631113832997e-05,5.5209616866293166e-05,2.4751272123891238e-05,1.8005752754688416e-06,8.707197232652348e-06,1.4527168143089427e-06,5.545640950888909e-06,4.146168402998943e-06,2.771112381036756e-06,6.375894834554035e-06,3.3255180621095263e-06,3.432172220813397e-06,0.0,7.504067916249245e-06,3.160054409791942e-06,9.1397577720582e-06,6.028506339276267e-06,2.0725630667966484e-06,0.0
Schizophyllaceae,0.0,0.0,1.9079678953704794e-06,1.4694026851846557e-06,0.0,0.0,1.4471832345853146e-06,0.0,6.027890905140589e-06,0.0,0.0,0.0,0.0,0.0,5.7977557211876294e-05,5.1101684771998115e-05,3.888766355634313e-05,4.178123590941006e-05,2.880739327099026e-06,4.894018972942218e-06,1.6911145092734142e-06,1.635573672020969e-05,1.3644030971732724e-06,0.0,5.1921521154782205e-06,0.0,0.0,2.0822352064563993e-06,0.0,0.0,4.698586540511014e-06,0.0,2.2891020353551514e-05,6.7944248786436954e-06,0.0,9.055286756196412e-06
Metschnikowiaceae,0.0,1.1828220189131889e-05,7.703294307318688e-06,7.910154999572702e-06,1.090337137766204e-05,2.151811711863478e-05,1.3633448934115661e-05,1.1732644624778617e-05,1.352067290701659e-05,3.016670795362823e-06,2.249304607071721e-05,3.653217069203396e-05,1.0270962707574878e-05,1.1619780127316508e-05,0.00015266123239404886,3.056587787990356e-05,8.141071144923413e-05,6.560126971279313e-05,7.753863124271638e-05,3.622534341747972e-05,1.8207368239153566e-05,2.201173543057789e-05,1.4689832936001963e-05,1.4019342636018466e-05,3.4938285152268165e-06,1.7513383167386684e-05,6.0443320543389355e-06,5.604591374000227e-06,4.338254024694369e-06,7.749667442621847e-06,2.2131938144286084e-05,1.0651461429896146e-05,2.3105245534541544e-05,1.219201844507101e-05,2.0957701391412346e-05,6.093353657347692e-06
Leucosporidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.558471017581525e-06,0.0,4.052215699540398e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coccocarpiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phanerochaetaceae,0.0,0.0,0.0,0.0,1.0783893996821678e-06,8.185509642315246e-07,0.0,0.0,0.0,1.4918073022417765e-06,1.2359206060143916e-06,0.0,0.0,2.873113113804283e-06,3.0197679057953672e-05,5.668301612173381e-06,1.0064828254325534e-05,1.6220605401211283e-05,9.586121932125212e-06,9.771379625660716e-06,0.0,9.675793063245466e-06,9.08054007596965e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.563529996007607e-06,0.0,7.617353996443762e-06,1.507302534749721e-06,0.0,0.0
Cyphellophoraceae,0.0,1.958721549304212e-06,0.0,1.964850688639823e-06,0.0,8.223098077202093e-07,0.0,0.0,0.0,0.0,4.966384160787227e-06,3.2997979177917726e-06,0.0,0.0,3.0336348920015282e-05,1.1388661702163893e-05,1.444435236029116e-05,1.862296178271258e-05,3.85205683078702e-06,6.54416699122437e-06,0.0,3.645084369081252e-06,0.0,0.0,6.9428236129417875e-06,1.7401015772111507e-06,1.0009251820372804e-06,0.0,0.0,0.0,1.5707098355065122e-06,0.0,0.0,0.0,0.0,0.0
Cladoniaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.093360658540619e-06,4.6101032020674455e-06,3.5082237128169177e-06,1.8846326722074454e-06,0.0,0.0,0.0,9.836809955475047e-07,0.0,0.0,0.0,0.0,8.1034427177045e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nannizziopsiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8985606373778615e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mycosphaerellaceae,0.0,7.513060133907684e-07,0.0,2.2609708944813677e-06,8.310736544925446e-07,6.308260647153857e-06,6.680345432949055e-06,1.4904704712332548e-06,1.030568863044821e-06,1.1496790925783786e-06,2.85743087331649e-06,5.062808482383738e-06,0.0,2.2141988932416462e-06,8.274560562024382e-05,3.2034524515180663e-05,6.205263962444311e-05,6.071721476974761e-05,4.137089160723077e-05,2.384636251202949e-05,3.469492035327116e-06,6.524669674619059e-06,2.799210610907823e-06,7.480048271471526e-06,2.6630559775928886e-06,8.009400494933453e-06,4.607093490053172e-06,2.135957803230635e-06,2.48001868060246e-06,1.476732337998801e-06,7.229718252462765e-06,1.0148408081336373e-06,8.805607082080522e-06,3.484862035039087e-06,0.0,0.0
Atheliaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.784270252571986e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strophariaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.272792653204392e-07,5.460297442904478e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bondarzewiaceae,0.0,2.268627327296429e-06,1.477475367921165e-06,0.0,0.0,9.524143449387266e-07,0.0,1.1251480692626436e-06,3.1118833653581657e-06,0.0,0.0,0.0,0.0,3.3429734540570287e-06,2.9280097773806193e-05,6.595278733733516e-06,2.342160043208477e-05,1.887327477795822e-05,6.692284614722228e-06,7.5795745832053725e-06,0.0,5.629071685686188e-06,1.056554448783021e-06,1.6133279549881813e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.4576750697655005e-06,0.0,4.431536662778494e-06,0.0,3.014731717893768e-06,0.0
